temperature,operation,residence time,co_digestion,feedstock,co_substrate,feedstock_and_co_substrate,additives,additives_or_chemicals,pre_treatment_type,pre_treatment,arg_removal_efficiency,mge_removal_efficiency,references
37,Batch,22,No,Manure,,Manure,Control,No,,No,-33.7,-24.13793103,"(Junya Zhang et al., 2017)"
55,Batch,10,No,Food Waste,,Food Waste,,No,,No,-79.05828332,-99.19054557,"(Wang et al., 2019)"
35,Batch,15,No,Food Waste,,Food Waste,,No,,No,12.63,-95.27683341,"(Wang et al., 2019)"
35,Batch,50,No,Food Waste,,Food Waste,,No,,No,-52.27272727,-45.45454545,"(Ma et al., 2020)"
35,Semi-continuous,30,No,Food Waste,,Food Waste,Control,No,,No,49.38271605,-99.72222222,"(Jingxin Zhang et al., 2017)"
50,Semi-continuous,39,No,Food Waste,,Food Waste,,No,,No,-95,-99,"(Jang et al., 2020)"
37,Semi-continuous,5.8,No,Manure,,Manure,Control,No,Control,No,-35.58,-75.90361446,"(L. Zhang et al., 2019)"
50,Batch,23,No,Manure,,Manure,Control,No,,No,-29.63,0,"(Wu et al., 2020)"
25,Batch,30,No,Manure,,Manure,,No,,No,-84.44,0,"(X. Huang et al., 2019)"
37,Batch,30,No,Manure,,Manure,Control,No,,No,-81.11,0,"(X. Huang et al., 2019)"
37,Batch,30,No,Manure,,Manure,Control,No,,No,-80,-98,"(Guo et al., 2020)"
55,Batch,30,No,Manure,,Manure,,No,,No,-72.22,0,"(X. Huang et al., 2019)"
37,Batch,41,No,Manure,,Manure,Control,No,,No,0,0,"(Lu et al., 2020)"
35,Batch,43,No,Manure,,Manure,Control,No,,No,-58.53658537,-50,"(Ma et al., 2019)"
37,Batch,50,No,Manure,,Manure,Control,No,,No,-66.1,-82.1,"(R. Zhang et al., 2019)"
19.5,Batch,60,No,Manure,,Manure,,No,,No,-98.6,0,"(Resende et al., 2014)"
20,Batch,60,No,Manure,,Manure,,No,,No,16.45836451,-98.33333333,"(Sun et al., 2016)"
29.5,Batch,60,No,Manure,,Manure,,No,,No,-99.99,0,"(Resende et al., 2014)"
35,Batch,60,No,Manure,,Manure,,No,,No,-15.9,-96.66666667,"(Sun et al., 2016)"
55,Batch,60,No,Manure,,Manure,,No,,No,-45.31661711,-98.33333333,"(Sun et al., 2016)"
37,Batch,74,No,Manure,,Manure,,No,,No,-21.29,-50,"(Sui et al., 2018)"
37,Batch,133,No,Manure,,Manure,,No,,No,-20.67,25,"(Sui et al., 2018)"
35,Semi-continuous,22,No,Manure,,Manure,,No,Control,No,13.23,0,"(Wallace et al., 2018)"
35,Batch,15,No,Pharmaceutical Waste Sludge,,Pharmaceutical Waste Sludge,,No,Control,No,-81.76,-98,"(Pei et al., 2016)"
35,Batch,15,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,-85.5,-80,"(Pei et al., 2016)"
35,Batch,30,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,-50.77,-95,"(Wang et al., 2019)"
37,Batch,33,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,100,4185.714286,"(Zhang et al., 2016)"
22,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-41.4,0,"(Diehl and Lapara, 2010)"
35,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,control,No,,No,90.11,-50,"(Bai et al., 2019)"
35,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,1.2,0,"(Zhang et al., 2015)"
37,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-79.27,-90,"(Diehl and Lapara, 2010)"
46,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-54.92,-91,"(Diehl and Lapara, 2010)"
55,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-95.36,-95,"(Diehl and Lapara, 2010)"
55,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-5,0,"(Zhang et al., 2015)"
35,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,Control,No,,No,3.66,36.36,"(H. Huang et al., 2019)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,150,0,"(Tong et al., 2017)"
35,Semi-continuous,10,No,Sewage Sludge,,Sewage Sludge,,No,,No,-37.79935275,-88.30409357,"(Ma et al., 2011)"
47,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-67.75404531,-80.50682261,"(Ma et al., 2011)"
52,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-64.84142395,-80.50682261,"(Ma et al., 2011)"
59,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,,No,-55.88673139,-61.01364522,"(Ma et al., 2011)"
35,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,,No,,No,-10.48543689,-88.30409357,"(Ma et al., 2011)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,100,2.222222222,"(Tong et al., 2016)"
37,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,-73.06,-22.48,"(J. Zhang et al., 2019)"
37,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,,No,Control,No,-48.05,-74.16,"(J. Zhang et al., 2019)"
37,Semi-continuous,10,No,Sewage Sludge,,Sewage Sludge,,No,,No,196.8,-37.5,"(Wu et al., 2016)"
55,Semi-continuous,10,No,Sewage Sludge,,Sewage Sludge,,No,,No,12.21,25,"(Wu et al., 2016)"
37,Batch,22,No,Manure,,Manure,Graphene oxide,Yes,,No,-40.2,-6.896551724,"(Junya Zhang et al., 2017)"
55,Batch,10,No,Food Waste,,Food Waste,Nanozerovalent Iron,Yes,,No,-86.63820536,-96.23603691,"(Wang et al., 2019)"
35,Batch,15,No,Food Waste,,Food Waste,Nanozerovalent Iron,Yes,,No,-31.07838466,-98.19086935,"(Wang et al., 2019)"
35,Semi-continuous,30,No,Food Waste,,Food Waste,Activated carbon,Yes,,No,-75,-98.61111111,"(Jingxin Zhang et al., 2017)"
50,Batch,23,No,Manure,,Manure,Cupric sulfate & Cupric glycinate  800 mg/kg waste,Yes,,No,-26.9,0,"(Wu et al., 2020)"
37,Batch,30,No,Manure,,Manure,Mixed antibiotics,Yes,,No,-83.33,0,"(X. Huang et al., 2019)"
37,Batch,30,No,Manure,,Manure,Oxytetracyclin,Yes,,No,-99,0,"(Turker et al., 2018)"
37,Batch,30,No,Manure,,Manure,Lignite,Yes,,No,-97,-99,"(Guo et al., 2020)"
37,Batch,41,No,Manure,,Manure,Fecl3,Yes,,No,-33.3,0,"(Lu et al., 2020)"
35,Batch,43,No,Manure,,Manure,Nanozerovalent Iron,Yes,,No,-68.29268293,-50,"(Ma et al., 2019)"
37,Batch,50,No,Manure,,Manure,Graphene oxide,Yes,,No,-78.2,-83.8,"(R. Zhang et al., 2019)"
35,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,Mixed antibiotics,Yes,,No,210.44,-70,"(Bai et al., 2019)"
35,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,Zno (<100 nm),Yes,,No,32.66,161.81,"(H. Huang et al., 2019)"
35,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,Cuo (40 nm) NPs,Yes,,No,49,116.36,"(H. Huang et al., 2019)"
35,Semi-continuous,30,Yes,Food Waste,Manure,Food Waste + Manure,control,No,,No,-74.07,-97.14285714,"(Jingxin Zhang et al., 2019)"
35,Batch,50,Yes,Food Waste,Oil,Food Waste + Oil,,No,,No,-72.72727273,-78.18181818,"(Ma et al., 2020)"
37,Batch,52,Yes,Manure,Wheat Straw,Manure + Wheat Straw,Control,No,,No,58.8842592,-81.44278607,"(R. Zhang et al., 2017)"
35,Semi-continuous,30,Yes,Food Waste,Manure,Food Waste + Manure,Activated carbon,Yes,,No,-83.7,-85.71428571,"(Jingxin Zhang et al., 2019)"
37,Batch,52,Yes,Manure,Wheat Straw,Manure + Wheat Straw,Zinc,Yes,,No,80.46217189,17.91044776,"(R. Zhang et al., 2017)"
37,Batch,52,Yes,Manure,Wheat Straw,Manure + Wheat Straw,Zinc,Yes,,No,52.29787708,11.94029851,"(R. Zhang et al., 2017)"
35,Semi-continuous,22,No,Manure,,Manure,,No,Pasteurization,Yes,-54.17,0,"(Wallace et al., 2018)"
35,Batch,15,No,Pharmaceutical Waste Sludge,,Pharmaceutical Waste Sludge,,No,Ozonation,Yes,-94.5,-83.3,"(Pei et al., 2016)"
35,Batch,15,No,Pharmaceutical Waste Sludge,,Pharmaceutical Waste Sludge,,No,Thermal 170 °C 30 mins,Yes,-99.42,-99.3,"(Pei et al., 2016)"
35,Batch,15,No,Sewage Sludge,,Sewage Sludge,,No,Ozonation,Yes,-93.01,-100,"(Pei et al., 2016)"
35,Batch,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal 170 °C 30 mins,Yes,-98.01,-98.2,"(Pei et al., 2016)"
35,Batch,30,No,Sewage Sludge,,Sewage Sludge,,No,Alkaline,Yes,-66.35,-95,"(Wang et al., 2019)"
35,Batch,30,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis,Yes,-52.5,-90,"(Wang et al., 2019)"
35,Batch,30,No,Sewage Sludge,,Sewage Sludge,,No,Ultrasonication,Yes,-70.07,-91,"(Wang et al., 2019)"
35,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Conventional sedimentation,Yes,-42.79523294,-63.48066298,"(Jang et al., 2017)"
35,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Conventional sedimentation,Yes,-67.49729144,-62.32044199,"(Jang et al., 2017)"
35,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Fecl3 as coagulant (100 mg/L),Yes,-37.18446602,-69.16666667,"(Jang et al., 2017)"
55,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Fecl3 as coagulant (100 mg/L),Yes,-66.4,-68.53174603,"(Jang et al., 2017)"
55,Semi-continuous,4,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-80,0,"(C. Sun et al., 2019)"
40,Semi-continuous,12,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,25,0,"(C. Sun et al., 2019)"
40,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-17,0,"(C. Sun et al., 2019)"
55,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-92,0,"(C. Sun et al., 2019)"
55,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-83,0,"(C. Sun et al., 2019)"
40,Semi-continuous,25,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-70,0,"(C. Sun et al., 2019)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,-58.19,0,"(Tong et al., 2017)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (165 °C 30 min),Yes,-77.33,0,"(Tong et al., 2017)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Ozonation,Yes,49.14,0,"(Tong et al., 2017)"
37,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis 150 °C,Yes,-98.69902913,-99.61013645,"(Ma et al., 2011)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,200,2.222222222,"(Tong et al., 2016)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave + Acid,Yes,200,2.222222222,"(Tong et al., 2016)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave + Hydrogen peroxide,Yes,200,2.222222222,"(Tong et al., 2016)"
37,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,-46.12,80.87,"(J. Zhang et al., 2019)"
37,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,-80.7,80.87,"(J. Zhang et al., 2019)"
37,Semi-continuous,6.65,No,Manure,,Manure,Activated carbon,Yes,Microwave,Yes,-91,-87.95180723,"(L. Zhang et al., 2019)"
37,Batch,33,Yes,Food Waste,Sewage Sludge,Food Waste + Sewage Sludge,,No,Microwaved sewage sludge,Yes,400,-30,"(Zhang et al., 2016)"
37,Batch,33,Yes,Food Waste,Sewage Sludge,Food Waste + Sewage Sludge,,No,Microwaved food waste,Yes,500,275,"(Zhang et al., 2016)"
